model,class,weather,baseline_iou,weighted_iou,delta_iou
DeepLabV3+,rider,fog,0.5604459496780383,0.5329154732086144,-0.02753047646942386
DeepLabV3+,rider,lowlight,0.6884599488399629,0.613625524376831,-0.07483442446313182
DeepLabV3+,rider,rain,0.6181818181818182,0.5711144040216594,-0.047067414160158805
DeepLabV3+,rider,snow,0.1494622735002997,0.2737512294691866,0.12428895596888692
DeepLabV3+,road,all,0.9134710809803565,0.8977716591250977,-0.015699421855258744
DeepLabV3+,road,fog,0.9719143298546492,0.9616938214100818,-0.010220508444567455
DeepLabV3+,road,lowlight,0.9000887420009009,0.8757287068132219,-0.02436003518767904
DeepLabV3+,road,rain,0.8745867709786946,0.8617642742953143,-0.012822496683380313
DeepLabV3+,road,snow,0.8332735414092293,0.7909053884128355,-0.04236815299639374
DeepLabV3+,sidewalk,all,0.2437199759807846,0.3550642375415789,0.1113442615607943
DeepLabV3+,sidewalk,fog,0.3438003014895628,0.3864015704223134,0.04260126893275057
DeepLabV3+,sidewalk,lowlight,0.2001292103485742,0.3642912244855409,0.1641620141369667
DeepLabV3+,sidewalk,rain,0.230673116970493,0.2391239718561094,0.008450854885616393
DeepLabV3+,sidewalk,snow,0.0,0.0,0.0
DeepLabV3+,traffic light,all,0.2824313569438917,0.2868398015757222,0.004408444631830488
DeepLabV3+,traffic light,fog,0.2553447033389383,0.1315442146942367,-0.12380048864470158
DeepLabV3+,traffic light,lowlight,0.1297709923664122,0.156954487452148,0.02718349508573578
DeepLabV3+,traffic light,rain,0.3124552099756342,0.3527523149225257,0.04029710494689148
DeepLabV3+,traffic light,snow,0.0,0.0,0.0
DeepLabV3+,traffic sign,all,0.5434738117116364,0.5042109228890056,-0.03926288882263085
DeepLabV3+,traffic sign,fog,0.5452935082234104,0.5035034272658035,-0.041790080957606834
DeepLabV3+,traffic sign,lowlight,0.456596538030133,0.4744106077229789,0.01781406969284588
DeepLabV3+,traffic sign,rain,0.3687997077255993,0.2495251372309837,-0.11927457049461557
DeepLabV3+,traffic sign,snow,0.7252384407499711,0.6804302885055158,-0.044808152244455335
DeepLabV3+,truck,all,0.536525328478188,0.521649994585859,-0.014875333892328979
