model,precision,parameters_million,checkpoint_size_mb,avg_latency_ms,p95_latency_ms,fps,peak_gpu_memory_mb,iddaw_miou
U-Net ResNet50,fp32,47.46545,543.6996192932129,17.142937680255272,17.2616994506825,58.333059283752185,608.88623046875,0.4036
U-Net ResNet50,amp_fp16,47.46545,543.6996192932129,10.317638059932506,10.486772049989668,96.92140722433344,493.712890625,0.4036
DeepLabV3+ ResNet50,fp32,40.357578,462.3516368865967,17.4042397096855,17.694788049630002,57.45726424599276,765.7412109375,0.4495
DeepLabV3+ ResNet50,amp_fp16,40.357578,462.3516368865967,11.809774599969387,12.021801749142469,84.67562115898403,1056.69384765625,0.4495
SegFormer-B2,fp32,27.378922,313.7991895675659,28.429645280011755,28.65636574861128,35.17455072515722,1392.94677734375,0.484
SegFormer-B2,amp_fp16,27.378922,313.7991895675659,20.33520802993735,21.42090665165597,49.1757939494795,1197.8994140625,0.484
