model,iddaw_miou,fp32_latency_ms,amp_fp16_latency_ms,latency_reduction_percent,fp32_fps,amp_fp16_fps,fps_improvement_percent,fp32_peak_gpu_memory_mb,amp_fp16_peak_gpu_memory_mb,gpu_memory_change_percent
U-Net ResNet50,0.4036,17.142937680255272,10.317638059932506,39.81406073816592,58.333059283752185,96.92140722433344,66.15176439293913,608.88623046875,493.712890625,-18.915412121421106
DeepLabV3+ ResNet50,0.4495,17.4042397096855,11.809774599969389,32.14426601239454,57.45726424599276,84.67562115898403,47.37148082174754,765.7412109375,1056.69384765625,37.99620975897791
SegFormer-B2,0.484,28.429645280011755,20.33520802993735,28.47181936443443,35.17455072515722,49.1757939494795,39.80503783466505,1392.94677734375,1197.8994140625,-14.002499338358884
